Date,Open,,,,,
9-Jul-15,270.83,,,,,
8-Jul-15,265.98,,,,,
7-Jul-15,269.96,,,,,
6-Jul-15,271.11,,,,,
5-Jul-15,260.81,,,,,
4-Jul-15,256.49,,,,,
3-Jul-15,255.46,,,,,
2-Jul-15,258.55,,,,,
1-Jul-15,263.35,,,,,
30-Jun-15,257.04,,,,,
29-Jun-15,248.72,,,,,
28-Jun-15,250.96,,,,,
27-Jun-15,243.55,,,,,
26-Jun-15,242.6,,,,,
25-Jun-15,240.37,,,,,
24-Jun-15,244.28,,,,,
23-Jun-15,246.93,,,,,
22-Jun-15,243.97,,,,,
21-Jun-15,245.1,,,,,
20-Jun-15,244.53,,,,,
19-Jun-15,249.04,,,,,
18-Jun-15,249.43,,,,,
17-Jun-15,250.82,,,,,
16-Jun-15,236.76,,,,,
15-Jun-15,233.42,,,,,
14-Jun-15,232.44,,,,,
13-Jun-15,229.92,,,,,
12-Jun-15,229.71,,,,,
11-Jun-15,228.85,,,,,
10-Jun-15,229,,,,,
